Date,Open,High,Low,Close,Volume,Adj Close,NDX,SP500,ewma_5,ewma_22,ewma_200,MACD,Lower band,Upper band,Middle band,AO,AC,%R
04-09-13,288.329987,295.230011,287.579987,293.640015,2438600,293.640015,3124.540039,1653.079956,287.8651591,289.3968808,270.543454,-2.281609856,277.9143047,299.7146991,288.8145019,-9.807054056,1.718515602,65.76808751
05-09-13,293.630005,297,292.709991,294.100006,1816600,294.100006,3129.939941,1655.079956,289.9434414,289.8058482,270.7778475,-1.58962444,278.147119,299.200885,288.674002,-6.796994832,3.791008477,65.71343727
06-09-13,295.329987,298.880005,290.799988,295.859985,2292000,295.859985,3133.379883,1655.170044,291.9156226,290.3322949,271.027421,-0.88895806,278.1360391,299.2239644,288.6800017,-4.161996338,4.905494357,65.50433915
09-09-13,297.220001,299.959991,296.600006,299.709991,1643600,299.709991,3169.929932,1671.709961,294.5137454,291.1477467,271.3128197,-0.022749357,277.7922094,299.8127922,288.8025008,-0.776966682,5.942023138,65.04693082
10-09-13,300.549988,301,297.220001,300.359985,1778400,300.359985,3185.070068,1683.98999,296.4624919,291.9488109,271.6018462,0.70801481,277.319446,300.6525539,288.9859999,1.597854074,5.586885641,64.96970687
11-09-13,298.910004,301.859985,297.839996,299.640015,1742600,299.640015,3179.860107,1689.130005,297.5216663,292.6176113,271.880833,1.215048789,276.8422335,301.6967678,289.2695006,3.31891155,4.682749996,65.05524447
12-09-13,299.390015,302,297.660004,298.859985,1606200,298.859985,3175.570068,1683.420044,297.9677725,293.1604264,272.1492823,1.536226308,276.5190822,302.771918,289.6455001,4.337295144,3.474275595,65.14791763
13-09-13,300.140015,300.220001,296.200012,297.920013,1350600,297.920013,3178.280029,1687.98999,297.9518527,293.5743035,272.4057074,1.695370742,276.682339,303.7536624,290.2180007,5.198796703,2.463618545,65.25959304
16-09-13,299.820007,301,295.26001,296.059998,1808400,296.059998,3168.689941,1697.599976,297.3212345,293.7904508,272.6410735,1.652358823,277.2546565,304.305344,290.7800002,5.501738944,1.510819661,65.48057617
17-09-13,297.630005,304.649994,296.01001,304.170013,2296500,304.170013,3190.830078,1704.76001,299.6041606,294.6930215,272.9547943,2.24678249,277.1729967,306.2470044,291.7100005,5.902945156,1.051007656,64.51704821
18-09-13,304.059998,312.73999,302.910004,312.029999,2946400,312.029999,3231.310059,1725.52002,303.7461068,296.2005847,273.3436023,3.313902109,276.0097203,309.9042811,292.9570007,7.358240574,1.698437269,63.5832255
19-09-13,313.769989,314.540009,311.040009,312.059998,2350900,312.059998,3237.610107,1722.339966,306.5174038,297.5796641,273.7288401,4.114592306,275.8579239,312.8050766,294.3315002,9.649212076,2.927025386,63.5796614
20-09-13,312.540009,320.570007,312.410004,316.339996,5302300,316.339996,3224.72998,1709.910034,309.7916012,299.2109973,274.1528317,5.036448086,274.8933872,316.4306118,295.6619995,12.9206527,4.65409481,63.07116694
23-09-13,314.01001,315.899994,308.769989,311.48999,1884900,311.48999,3219.340088,1701.839966,310.3577308,300.2787358,274.5243457,5.31440928,274.9990385,318.4729585,296.7359985,15.42709118,5.17546284,63.64738244
24-09-13,312.429993,318.079987,311.279999,314.130005,2033600,314.130005,3218.659912,1697.420044,311.6151555,301.483194,274.9184319,5.682221562,275.6673764,320.596622,298.1319992,17.84885391,5.208043819,63.33372972
25-09-13,314.529999,316.709991,310.75,312.649994,2008600,312.649994,3208.550049,1692.77002,311.9601017,302.4542201,275.2938703,5.787575362,277.8972617,321.5387368,299.7179992,18.58397115,3.698014948,63.50956564
26-09-13,313.899994,319.369995,313.26001,318.119995,1989900,318.119995,3234.040039,1698.670044,314.0133995,303.8164614,275.7200009,6.240515593,280.0015349,323.0884644,301.5449996,18.67779297,1.986120588,62.85969029
27-09-13,316.920013,317.209991,313.350006,316.01001,1657500,316.01001,3230.300049,1691.75,314.6789363,304.87677,276.1208965,6.355948418,282.3518353,323.9411639,303.1464996,17.89182069,0.205914708,63.11037164
30-09-13,313.410004,315.309998,311.059998,312.640015,1623600,312.640015,3218.199951,1681.550049,313.9992959,305.5518348,276.4842708,6.10512327,286.3610966,323.097903,304.7294998,17.59079259,-0.527853671,63.51075122
01-10-13,314.220001,321,313.649994,320.950012,2396400,320.950012,3253.050049,1695,316.3162012,306.8908067,276.926716,6.501939529,288.2127742,324.4612278,306.337001,17.41964654,-0.61315825,62.52346397
02-10-13,318.040009,321.730011,317.519989,320.51001,2217400,320.51001,3253.26001,1693.869995,317.7141375,308.0750852,277.3603806,6.703639408,289.5356044,325.8253971,307.6805007,17.79835358,-0.077327689,62.57573936
03-10-13,320.390015,322.920013,313.019989,314.76001,2674800,314.76001,3213.830078,1678.660034,316.7294283,308.656383,277.7325162,6.326582168,291.4952437,325.9317582,308.7135009,17.22508828,-0.360052052,63.25888061
04-10-13,315.130005,319.200012,312.619995,319.040009,1815000,319.040009,3242.570068,1690.5,317.4996219,309.559307,278.1435361,6.300493571,293.1847629,326.5602414,309.8725021,16.48358899,-0.819905007,62.75038603
07-10-13,315.23999,315.339996,309.73999,310.029999,2083200,310.029999,3215.689941,1676.119995,315.0097476,309.6002368,278.4608143,5.489506055,294.400309,326.3766961,310.3885025,15.58929421,-1.313900111,63.82083984
08-10-13,311.5,311.549988,300.269989,303.230011,3166200,303.230011,3153.870117,1655.449951,311.0831687,309.0463041,278.707274,4.249109316,294.8747065,326.1893012,310.5320038,12.76849873,-3.204466029,64.62872719
09-10-13,303.420013,303.5,296.5,298.230011,3247400,298.230011,3142.540039,1656.400024,306.7987828,308.1057569,278.9015301,2.830005212,294.5865232,326.3364841,310.4615036,8.436586774,-5.664024623,65.22276306
10-10-13,304.630005,306.700012,302.589996,305.170013,2555100,305.170013,3210.840088,1692.560059,306.2558595,307.8504748,279.162908,2.239539133,295.6391467,325.9148634,310.777005,5.262469359,-6.445618253,64.39824104
11-10-13,304.769989,310.929993,303.839996,310.890015,2163100,310.890015,3233.830078,1703.199951,307.800578,308.1147826,279.4786006,2.207697903,297.5479613,325.303049,311.4255051,3.037320574,-5.981513355,63.71866377
14-10-13,309.220001,311.649994,307,310.700012,1939100,310.700012,3256.02002,1710.140015,308.767056,308.3395852,279.7892614,2.142435184,300.294289,324.0207227,312.1575058,1.776968271,-4.479400471,63.74123749
15-10-13,309.869995,310.790009,305.26001,306.399994,2261100,306.399994,3244.659912,1698.060059,307.9780353,308.1709251,280.0540448,1.72386683,300.6832073,323.8548025,312.2690049,1.449530853,-2.543044313,64.25211047
16-10-13,308.380005,310.799988,305.549988,310.48999,2170700,310.48999,3281.669922,1721.540039,308.8153536,308.3725829,280.35689,1.702550943,300.5790802,323.8049287,312.1920044,2.29011685,-0.473164331,63.76618961
17-10-13,307.070007,311,305.23999,310.769989,2648400,310.769989,3301.280029,1733.150024,309.4668987,308.581053,280.6595079,1.688784273,300.4971758,323.7578322,312.127504,2.245997712,0.08601086,63.73292372
18-10-13,319.359985,331.890015,316.75,328.929993,5969800,328.929993,3353.879883,1744.5,315.9545968,310.350526,281.1398113,3.107414304,298.9984874,326.5155203,312.7570038,4.401088253,1.968347865,61.57538499
21-10-13,329.890015,330,323.799988,326.440002,2522300,326.440002,3361.179932,1744.660034,319.4497319,311.7496109,281.5905594,3.984832689,298.4704823,328.5385266,313.5045044,6.765500006,3.335053271,61.87121378
22-10-13,327.720001,337.109985,325.679993,332.540009,3935500,332.540009,3366.929932,1754.670044,323.8131576,313.5574716,282.0975191,5.113467793,297.1433355,331.7066738,314.4250046,10.26331973,5.070115219,61.14648919
23-10-13,330.839996,331.720001,324.059998,326.76001,2818200,326.76001,3346.050049,1746.380005,324.7954417,314.7055184,282.541922,5.478370386,297.0216911,333.2393198,315.1305054,13.23470426,5.852582272,61.83319453
24-10-13,329.630005,332.649994,326.75,332.209991,5884700,332.209991,3362.379883,1752.069946,327.2669581,316.2276465,283.0361317,6.136587479,296.2041548,335.4658557,315.8350052,16.52541053,6.287405975,61.1856977
25-10-13,358.600006,368.399994,352.619995,363.390015,12036800,363.390015,3383.830078,1759.77002,339.3079771,320.328722,283.8356728,9.069647372,289.2586342,347.1493768,318.2040055,21.93311393,8.188704239,57.4812872
28-10-13,359.920013,362.75,357.200012,358.160004,3635800,358.160004,3382.679932,1762.109985,345.5919861,323.6183987,284.5752184,10.84706211,286.633185,354.3268249,320.4800049,26.75796911,9.015065598,58.10265002
29-10-13,358.959991,362.890015,356.290009,362.700012,2185400,362.700012,3391.75,1771.949951,351.2946614,327.0167999,285.3525795,12.47817615,283.8056429,361.329367,322.5675049,30.63991426,8.821691836,57.5632645
30-10-13,362.619995,365,358.649994,361.079987,4502200,361.079987,3385.379883,1763.310059,354.5564366,329.9788161,286.1060861,13.4846803,282.2106262,366.9813814,324.5960038,35.60353155,9.311543674,57.75573509
31-10-13,361.730011,366,359,364.029999,2466800,364.029999,3377.72998,1756.540039,357.7142907,332.9397886,286.8814484,14.35490895,281.4746772,372.6443293,327.0595032,40.27264999,9.231214221,57.40525251
01-11-13,365.630005,365.769989,356.100006,359,3331000,359,3379.76001,1761.640015,358.1428605,335.2058939,287.5990459,14.47186984,281.492742,376.6222636,329.0575028,38.51044493,4.15354296,58.00285247
04-11-13,360.119995,361,354.399994,358.73999,1938400,358.73999,3384.75,1767.930054,358.3419037,337.252337,288.306916,14.37784273,283.0503032,379.9357015,331.4930023,36.36809033,0.089164122,58.03374352
05-11-13,356.779999,360.170013,354.839996,358.890015,2007100,358.890015,3388.820068,1762.969971,358.5246074,339.1338743,289.0092354,14.15229251,286.2766615,382.2753436,334.2760025,34.48991214,-2.559013646,58.01591948
06-11-13,360.450012,362.869995,354.5,356.179993,2282300,356.179993,3385.379883,1770.48999,357.7430693,340.6161454,289.6776011,13.5981156,291.3908095,382.9561938,337.1735016,32.51205964,-3.918571767,58.33788953
07-11-13,355.859985,357.899994,341.880005,343.559998,4246300,343.559998,3321.409912,1747.150024,353.0153789,340.8721326,290.2137444,12.00224388,295.8090296,382.3769722,339.0930009,29.00770677,-5.169935989,59.83723546
08-11-13,345.950012,351.049988,344.040009,350.309998,2656900,350.309998,3366.840088,1770.609985,352.1135852,341.6928166,290.8117171,11.15360087,299.6372069,382.4907932,341.064,25.29411853,-6.240258951,59.03528704
11-11-13,350.589996,355.369995,348.059998,354.380005,2261700,354.380005,3362.97998,1771.890015,352.8690585,342.7960503,291.4442373,10.68627598,304.013755,382.4822444,343.2479997,23.00785362,-5.854476518,58.55174101
12-11-13,352.98999,355.480011,347.279999,349.529999,2343100,349.529999,3365.22998,1767.689941,351.7560387,343.3816111,292.0222051,9.811462256,310.1595633,380.6494366,345.4044999,20.6755005,-5.423947311,59.12795652
13-11-13,347.399994,356.220001,345.679993,356.220001,2773300,356.220001,3405.560059,1782,353.2440261,344.4979928,292.6609892,9.547930727,316.2556306,379.1263704,347.6910005,18.10982409,-5.109176611,58.33313629
14-11-13,357.390015,368.940002,356.429993,367.399994,4159800,367.399994,3415.139893,1790.619995,357.9626821,346.4894712,293.4046609,10.12450312,323.1505895,377.894412,350.5225007,19.27455902,-1.997812136,57.00487293
15-11-13,367.630005,372.899994,365.549988,369.170013,4491600,369.170013,3422.580078,1798.180054,361.698459,348.4616922,294.158545,10.60205277,325.9407447,379.1282588,352.5345017,21.96232243,1.356310496,56.79458198
18-11-13,370.279999,373.48999,364.670013,366.179993,2737400,366.179993,3388.870117,1791.530029,363.1923037,350.002414,294.8751763,10.61686013,330.3047356,378.738267,354.5215013,23.91311741,3.126052723,57.1498178
19-11-13,365.820007,368.779999,362.5,364.940002,1904800,364.940002,3378.129883,1787.869995,363.7748698,351.3013347,295.5723387,10.40855482,333.8585505,378.4244514,356.1415009,25.41173398,3.67742259,57.29713763
20-11-13,367.559998,367.559998,360.450012,362.570007,1771500,362.570007,3367.169922,1781.369995,363.3732489,352.2812193,296.2389822,9.937677216,340.325466,375.5385356,357.9320008,26.66876487,3.222665329,57.57871003
21-11-13,364.049988,369.25,363.299988,368.920013,1964600,368.920013,3402.73999,1795.849976,365.2221702,353.7280709,296.9621765,9.962059316,346.2792133,373.2557905,359.7675019,25.90544092,1.133164998,56.82428377
22-11-13,370,374.5,366.309998,372.309998,2965500,372.309998,3422.02002,1804.76001,367.5847795,355.3438906,297.7119061,10.13806051,345.672094,374.7549081,360.213501,24.43953058,-0.828186973,56.42152924
25-11-13,373.820007,377.790009,373.179993,376.640015,2972300,376.640015,3427.48999,1802.47998,370.6031913,357.1957275,298.4972604,10.5058342,344.8963101,377.3786931,361.1375016,23.67420658,-1.545728804,55.90709216
